positionId,positionName,companyFullName,companySize,industryField,financeStage,createTime,city,salary,workYear,jobNature,education
6667194,python后端开发工程师,北京首都在线科技股份有限公司,150-500人,移动互联网,上市公司,2020-04-07 18:41:34,北京,15k-25k,3-5年,全职,本科
6937426,python开发工程师,成都宽邦科技有限公司,50-150人,金融 数据服务,不需要融资,2020-04-07 18:41:24,成都,8k-15k,1-3年,全职,本科
6848831,Python开发工程师,翼健（上海）信息科技有限公司,50-150人,医疗丨健康,B轮,2020-04-07 18:40:39,上海,12k-20k,1-3年,全职,本科
6249222,少儿编程讲师-python、scratch、C++,达内时代科技集团有限公司,2000人以上,移动互联网 教育,上市公司,2020-04-07 18:39:53,北京,7k-10k,不限,全职,本科
6961260,Python爬虫工程师,深圳市财盈通科技有限公司,150-500人,移动互联网 电商,不需要融资,2020-04-07 18:38:22,深圳,8k-15k,1-3年,全职,本科
6574816,高级python开发工程师,我查查信息技术（上海）有限公司,150-500人,移动互联网,不需要融资,2020-04-07 18:34:02,上海,25k-35k,5-10年,全职,不限
6807108,Python高级开发工程师,上海答派体育文化发展有限公司,50-150人,移动互联网 游戏,不需要融资,2020-04-07 18:32:23,上海,15k-25k,3-5年,全职,大专
6753798,课程设计（python）实习,深圳点猫科技有限公司,2000人以上,移动互联网 教育,C轮,2020-04-07 18:31:30,深圳,3k-4k,应届毕业生,实习,本科
5951153,python,北京数美时代科技有限公司,150-500人,企业服务 数据服务,C轮,2020-04-07 18:44:42,北京,10k-20k,应届毕业生,全职,本科
3118311,软件测试工程师（C++、java、python）,北京捷通华声科技股份有限公司,150-500人,移动互联网 数据服务,D轮及以上,2020-04-07 18:43:30,北京,15k-25k,1-3年,全职,本科
6254846,Python金牌讲师,达内时代科技集团有限公司,2000人以上,移动互联网 教育,上市公司,2020-04-07 18:39:53,北京,15k-25k,3-5年,全职,本科
6796707,Python开发工程师,深圳市光逸科技创新有限公司,50-150人,电商,不需要融资,2020-04-07 18:29:46,深圳,15k-20k,1-3年,全职,本科
5572773,高级python开发工程师,北京无极慧通科技有限公司,50-150人,医疗丨健康 数据服务,A轮,2020-04-07 18:29:37,北京,10k-15k,1-3年,全职,本科
2268991,Python,心灵失重（北京）科技有限公司,150-500人,移动互联网,A轮,2020-04-07 18:29:30,深圳,15k-30k,3-5年,全职,本科
4977208,Python开发工程师,小叶子（北京）科技有限公司,150-500人,硬件 教育,C轮,2020-04-07 18:29:14,北京,20k-30k,3-5年,全职,本科
